"strategy","wins","draws","losses","score","points"
"3, 15, 3, 15, 15, 15, 15, 4, 15",16635,1322,13138,17296,7
"12, 13, 12, 13, 12, 13, 12, 13, 0",16388,1813,12894,17294.5,7
"12, 13, 12, 13, 12, 13, 12, 13, 0",16388,1813,12894,17294.5,7
"0, 13, 13, 12, 13, 12, 13, 12, 12",16369,1849,12877,17293.5,7
"12, 13, 11, 11, 2, 13, 13, 13, 12",16129,2327,12639,17292.5,7
"15, 15, 15, 4, 2, 4, 15, 15, 15",16639,1303,13153,17290.5,7
"16, 16, 16, 1, 2, 1, 16, 16, 16",16688,1200,13207,17288,7
"16, 16, 16, 1, 2, 1, 16, 16, 16",16688,1200,13207,17288,7
"3, 4, 3, 15, 15, 15, 15, 15, 15",16629,1316,13150,17287,7
"1, 16, 16, 16, 1, 16, 16, 16, 2",16553,1459,13083,17282.5,7
"12, 13, 13, 13, 12, 12, 13, 12, 0",16334,1892,12869,17280,7
"1, 12, 12, 12, 12, 12, 12, 13, 14",16221,2113,12761,17277.5,7
"16, 16, 1, 1, 2, 16, 16, 16, 16",16678,1194,13223,17275,7
"2, 15, 15, 4, 15, 15, 15, 15, 4",16553,1443,13099,17274.5,7
"2, 15, 2, 15, 13, 15, 21, 15, 2",16486,1574,13035,17273,7
"2, 16, 16, 16, 16, 15, 15, 2, 2",16538,1470,13087,17273,7
"0, 12, 12, 12, 12, 13, 13, 13, 13",16339,1866,12890,17272,7
"0, 12, 12, 12, 12, 13, 13, 13, 13",16339,1866,12890,17272,7
"14, 1, 14, 1, 14, 14, 14, 14, 14",16746,1050,13299,17271,7
"14, 1, 14, 1, 14, 14, 14, 14, 14",16746,1050,13299,17271,7
"1, 14, 13, 12, 12, 12, 12, 12, 12",16148,2246,12701,17271,7
"2, 15, 20, 15, 2, 15, 1, 15, 15",16386,1769,12940,17270.5,7
"14, 14, 1, 14, 14, 14, 1, 14, 14",16767,1006,13322,17270,7
"14, 14, 14, 15, 15, 12, 12, 2, 2",16490,1555,13050,17267.5,7
"13, 13, 12, 13, 12, 12, 13, 12, 0",16346,1838,12911,17265,7
