"strategy"wins","draws","losses","score","points","
"18, 3, 3, 17, 18, 17, 3, 3, 18",6577,454,5065,6804,2
"16, 16, 2, 2, 2, 2, 20, 20, 20",6507,592,4997,6803,2
"1, 2, 19, 19, 1, 1, 19, 19, 19",6526,552,5018,6802,2
"1, 19, 19, 20, 1, 19, 19, 1, 1",6487,628,4981,6801,2
"18, 2, 18, 3, 18, 3, 18, 2, 18",6611,377,5108,6799.5,2
"2, 2, 15, 15, 2, 16, 16, 16, 16",6228,1142,4726,6799,2
"1, 2, 2, 16, 16, 16, 16, 16, 15",6321,954,4821,6798,2
"1, 1, 19, 19, 1, 19, 19, 2, 19",6517,562,5017,6798,2
"1, 19, 1, 19, 1, 21, 19, 18, 1",6504,587,5005,6797.5,2
"15, 16, 2, 15, 4, 15, 2, 16, 15",6263,1066,4767,6796,1
"2, 2, 2, 2, 21, 20, 17, 17, 17",6540,512,5044,6796,1
"17, 3, 17, 3, 17, 3, 17, 3, 20",6524,543,5029,6795.5,1
"2, 16, 15, 16, 1, 16, 15, 16, 3",6161,1268,4667,6795,1
"19, 2, 19, 1, 1, 19, 19, 19, 1",6530,528,5038,6794,1
"4, 1, 16, 1, 17, 15, 16, 15, 15",6280,1025,4791,6792.5,1
"19, 2, 19, 2, 0, 19, 19, 18, 2",6581,422,5093,6792,1
"3, 2, 21, 2, 7, 21, 21, 2, 21",6603,375,5118,6790.5,1
"1, 1, 2, 19, 1, 19, 19, 19, 19",6512,557,5027,6790.5,1
"16, 18, 15, 16, 18, 17, 0, 0, 0",6441,694,4961,6788,1
"17, 17, 7, 16, 2, 17, 17, 6, 1",6483,610,5003,6788,1
"16, 2, 16, 2, 14, 2, 16, 16, 16",6393,789,4914,6787.5,1
"1, 15, 17, 15, 2, 17, 15, 17, 1",6223,1128,4745,6787,1
"1, 15, 16, 16, 4, 15, 17, 15, 1",6176,1220,4700,6786,1
"1, 16, 16, 16, 16, 2, 15, 2, 16",6307,957,4832,6785.5,1
"15, 16, 16, 2, 16, 2, 16, 2, 15",6340,891,4865,6785.5,1
"1, 19, 19, 1, 1, 19, 20, 1, 19",6498,571,5027,6783.5,1
"1, 19, 19, 20, 1, 1, 20, 1, 18",6482,590,5024,6777,1
"3, 16, 16, 15, 1, 15, 16, 15, 3",6116,1321,4659,6776.5,1
"17, 4, 16, 4, 17, 4, 17, 4, 17",6519,512,5065,6775,1
"2, 15, 16, 2, 16, 16, 2, 16, 15",6250,1046,4800,6773,1
"2, 17, 15, 15, 2, 17, 2, 16, 14",6238,1068,4790,6772,1
"4, 15, 16, 2, 14, 2, 16, 15, 16",6265,1013,4818,6771.5,1
"1, 15, 16, 16, 5, 15, 15, 16, 1",6139,1264,4693,6771,1
"16, 2, 1, 16, 16, 2, 15, 16, 16",6363,816,4917,6771,1
"2, 16, 3, 16, 2, 15, 15, 16, 15",6191,1158,4747,6770,1
"16, 16, 16, 2, 15, 16, 15, 2, 2",6295,944,4857,6767,1
"1, 15, 16, 15, 5, 15, 16, 16, 1",6127,1279,4690,6766.5,1
"2, 16, 16, 15, 16, 15, 2, 16, 2",6225,1083,4788,6766.5,1
"17, 1, 15, 16, 1, 1, 18, 16, 15",6275,981,4840,6765.5,1
"17, 3, 17, 2, 17, 3, 17, 3, 21",6511,505,5080,6763.5,1
"1, 19, 1, 19, 1, 20, 20, 19, 0",6477,573,5046,6763.5,1
"1, 19, 1, 19, 1, 20, 20, 19, 0",6477,573,5046,6763.5,1
"1, 19, 1, 19, 1, 19, 19, 1, 20",6470,582,5044,6761,1
"16, 16, 2, 15, 16, 16, 16, 2, 1",6287,948,4861,6761,1
"2, 15, 16, 17, 16, 15, 2, 1, 16",6255,1001,4840,6755.5,1
"18, 0, 18, 0, 18, 18, 5, 5, 18",6588,333,5175,6754.5,1
"5, 15, 0, 15, 5, 15, 15, 15, 15",6131,1245,4720,6753.5,0
"0, 15, 15, 17, 5, 15, 17, 16, 0",6197,1112,4787,6753,0
